Id;Lat;Lon;Altura
1;6,283155081;-71,10080411;139.846
2;10,88300101;-72,88837174;208.7738
3;4,826201356;-72,28739306;179,5525
4;4,451651294;-69,80644263;167,4542
5;5,957135158;-73,64658635;1999,4912
6;3,539284167;-73,69554833;248.78
7;8,083634722;-74,77600583;27,213
8;1,020978725;-71,30792336;229,334
9;1,344722222;-71,94833333;236,7
10;-0,057222222;-74,65861111;191,8
11;0,141944444;-75,86222222;241,0
12;1,342222222;-74,845;269,9
13;3,269162778;-73,37478773;257,561
